first_name|gender|origin
Abdi|m|sweden
Abdiasis|m|sweden
Abdiaziz|m|sweden
Abdi-Aziz|m|sweden
Abdibasid|m|sweden
Abdifataah|m|sweden
Abdifatah|m|sweden
Abdifitah|m|sweden
Abdigani|m|sweden
Abdihafid|m|sweden
Abdihakim|m|sweden
Abdihakin|m|sweden
Abdihamid|m|sweden
Abdijabar|m|sweden
Abdikadar|m|sweden
Abdikader|m|sweden
Abdikadir|m|sweden
Abdikafi|m|sweden
Abdikani|m|sweden
Abdikarim|m|sweden
Abdikarin|m|sweden
Abdikhadar|m|sweden
Abdikhani|m|sweden
Abdil|m|sweden
Abdiladif|m|sweden
Abdilahi|m|sweden
Abdilatif|m|sweden
Abdilkadir|m|sweden
Abdillahi|m|sweden
Abdimajid|m|sweden
Abdimalik|m|sweden
Abdin|m|sweden
Abdinaasir|m|sweden
Abdinajib|m|sweden
Abdinasir|m|sweden
Abdinasser|m|sweden
